hand,first_win_day,first_win_situation,wins
QQT6s,2025-08-18,showdown,"[""6cQdTsQs""]"
T432d,2025-08-18,flop,"[""2dTc4c3d""]"
T654d,2025-08-18,showdown,"[""4c5hTh6c""]"
T933s,2025-08-18,showdown,"[""9hTc3s3h""]"
6544d,2025-08-19,showdown,"[""4h4c6c5h"", ""5s4s4h6h"", ""6d4s5s4d""]"
7522s,2025-08-19,preflop,"[""2c2d5s7d""]"
9332d,2025-08-19,preflop,"[""2s9d3d3s""]"
A854t,2025-08-19,preflop,"[""Ad5d8d4h""]"
A873d,2025-08-19,showdown,"[""7d3sAd8s"", ""3h7sAs8h"", ""3d8h7dAh"", ""7d8dAh3h""]"
AA62s,2025-08-19,showdown,"[""Ac2h6hAs"", ""6sAh2dAs""]"
AA75d,2025-08-19,turn,"[""5hAhAs7s"", ""AhAc7h5c"", ""7cAh5hAc""]"
AA85t,2025-08-19,flop,"[""As8s5sAd""]"
AA87t,2025-08-19,showdown,"[""Ad8hAh7h""]"
AA99s,2025-08-19,showdown,"[""9cAcAd9s""]"
AAJ8s,2025-08-19,flop,"[""AhAs8hJd"", ""8dAhJhAc""]"
AAJTd,2025-08-19,preflop,"[""ThJcAcAh""]"
AAK4s,2025-08-19,turn,"[""AsKd4sAh"", ""4hAcKdAd"", ""KcAd4cAs""]"
AAT6t,2025-08-19,flop,"[""6sAcTsAs"", ""6dTdAdAs""]"
AJ43d,2025-08-19,river,"[""3s4dAdJs""]"
AJ64s,2025-08-19,preflop,"[""4cJs6dAs""]"
AJT7d,2025-08-19,showdown,"[""7dAhThJd""]"
AK92d,2025-08-19,preflop,"[""9dKsAd2s""]"
AKJ4s,2025-08-19,preflop,"[""JsKdAd4h""]"
AKK9s,2025-08-19,flop,"[""9cKsAhKh""]"
AKQ2s,2025-08-19,preflop,"[""2cKhQhAd""]"
AKQ7r,2025-08-19,showdown,"[""AcQh7dKs""]"
AQ63d,2025-08-19,preflop,"[""3hQc6hAc""]"
AQ75s,2025-08-19,showdown,"[""7h5cAsQs""]"
AQJ3t,2025-08-19,showdown,"[""AhJh3hQc"", ""QcAdJd3d""]"
AQJ7d,2025-08-19,showdown,"[""AsQd7sJd""]"
AQJ8s,2025-08-19,preflop,"[""JdAd8cQh"", ""Js8hQdAd""]"
AQJTs,2025-08-19,turn,"[""AsJdQhTs""]"
AQQTd,2025-08-19,showdown,"[""QhTcAhQc""]"
AT98d,2025-08-19,preflop,"[""8c9cThAh""]"
ATT9d,2025-08-19,showdown,"[""Td9dAsTs""]"
JJ82s,2025-08-19,river,"[""8sJs2dJh""]"
JJT2s,2025-08-19,preflop,"[""JdJsTd2c"", ""2sThJcJh""]"
K866d,2025-08-19,flop,"[""8s6sKh6h""]"
K942s,2025-08-19,preflop,"[""2hKs9s4d""]"
KJ43d,2025-08-19,preflop,"[""3s4cJsKc""]"
KJ87d,2025-08-19,preflop,"[""8h7dKhJd""]"
KK96d,2025-08-19,showdown,"[""Ks9h6sKh""]"
KKJ8d,2025-08-19,showdown,"[""8hKdJdKh""]"
KKQ4t,2025-08-19,preflop,"[""KsKdQd4d""]"
KQ65d,2025-08-19,preflop,"[""5hKhQs6s""]"
KQQ8s,2025-08-19,preflop,"[""8sQsQhKd""]"
KT88d,2025-08-19,turn,"[""8hTh8sKs""]"
KT98s,2025-08-19,showdown,"[""9h8dTsKs"", ""8cTdKs9d""]"
Q863t,2025-08-19,showdown,"[""3s6s8hQs""]"
Q994d,2025-08-19,showdown,"[""Qd9s4s9d""]"
QJ85s,2025-08-19,preflop,"[""Qc5h8cJd""]"
QJT6d,2025-08-19,preflop,"[""TcJcQh6h""]"
QQ66s,2025-08-19,turn,"[""6cQcQs6h""]"
QT76s,2025-08-19,showdown,"[""7c6hQhTs"", ""Tc6h7dQd""]"
QT95d,2025-08-19,flop,"[""9cQh5hTc""]"
QT96s,2025-08-19,preflop,"[""6sQcTd9c""]"
QT98d,2025-08-19,river,"[""Tc8h9hQc""]"
T874s,2025-08-19,showdown,"[""7h8h4sTd""]"
T994d,2025-08-19,river,"[""Th9c9h4c""]"
TT84s,2025-08-19,showdown,"[""8cTdTs4d"", ""Ts8h4cTh""]"
8654d,2025-08-20,showdown,"[""6c5d8d4c""]"
9762r,2025-08-20,showdown,"[""6h9s2d7c""]"
A822t,2025-08-20,preflop,"[""8h2h2cAh""]"
AK55d,2025-08-20,showdown,"[""Kd5d5sAs""]"
AK74d,2025-08-20,flop,"[""AdKd7s4s""]"
AQT6d,2025-08-20,showdown,"[""ThAcQh6c""]"
J764s,2025-08-20,flop,"[""6cJh4s7s""]"
J972s,2025-08-20,showdown,"[""2h9sJc7s""]"
K872s,2025-08-20,river,"[""8hKs2d7h""]"
K883r,2025-08-20,preflop,"[""8s3hKc8d""]"
KJT4t,2025-08-20,showdown,"[""Kd4dTdJc""]"
KK75r,2025-08-20,flop,"[""Ks7h5cKd""]"
KKT9s,2025-08-20,showdown,"[""KdTs9dKc""]"
KQ54t,2025-08-20,showdown,"[""4cQsKs5s""]"
KQQ9s,2025-08-20,flop,"[""9sQdQhKd""]"
KTT8d,2025-08-20,showdown,"[""TcTsKs8c""]"
QJ65s,2025-08-20,showdown,"[""6hQc5cJs""]"
T966t,2025-08-20,turn,"[""Td6d6s9d""]"
7653d,2025-08-21,turn,"[""7s6d5s3d""]"
8432r,2025-08-21,preflop,"[""8c3d2s4h""]"
9765t,2025-08-21,showdown,"[""7d6d9d5h""]"
9885d,2025-08-21,river,"[""8s5s8c9c""]"
9976s,2025-08-21,showdown,"[""9c6d7s9s""]"
A322s,2025-08-21,turn,"[""2s2d3sAc""]"
A554s,2025-08-21,preflop,"[""5sAh4h5c""]"
A655d,2025-08-21,river,"[""Ah5s6s5h""]"
A832s,2025-08-21,flop,"[""8s2d3hAs""]"
A843d,2025-08-21,preflop,"[""Ac4s8s3c""]"
A865s,2025-08-21,flop,"[""Ac5h8d6c""]"
A874d,2025-08-21,showdown,"[""4h7sAh8s""]"
A886s,2025-08-21,preflop,"[""8d8cAs6s""]"
AA52r,2025-08-21,showdown,"[""5sAcAh2d""]"
AA52t,2025-08-21,turn,"[""2s5sAcAs""]"
AA73s,2025-08-21,showdown,"[""7c3hAcAd""]"
AA74s,2025-08-21,showdown,"[""4hAc7hAs""]"
AA92s,2025-08-21,turn,"[""2c9hAsAh""]"
AA96t,2025-08-21,showdown,"[""AhAs6s9s""]"
AA99d,2025-08-21,flop,"[""9sAdAs9d""]"
AAJ9s,2025-08-21,showdown,"[""JdAcAs9c""]"
AAJTr,2025-08-21,preflop,"[""AcAdTsJh""]"
AAK2t,2025-08-21,preflop,"[""As2cKcAc""]"
AAK3s,2025-08-21,turn,"[""Ad3sAcKd""]"
AAQJs,2025-08-21,preflop,"[""AhQhJsAc""]"
AAQQs,2025-08-21,preflop,"[""AdAsQcQs""]"
AJ33s,2025-08-21,showdown,"[""3dJhAc3h""]"
AJ33t,2025-08-21,turn,"[""Ah3dJh3h""]"
AJ86s,2025-08-21,showdown,"[""JhAh8c6s""]"
AJT3s,2025-08-21,preflop,"[""3dAdTcJh""]"
AJT6t,2025-08-21,preflop,"[""Ts6cAcJc""]"
AJTTs,2025-08-21,turn,"[""ThJcAcTs""]"
AK64d,2025-08-21,flop,"[""As6s4dKd""]"
AK72d,2025-08-21,turn,"[""Kc2c7sAs""]"
AK82d,2025-08-21,turn,"[""2dKdAh8h"", ""Ah8hKc2c""]"
AK94d,2025-08-21,flop,"[""Kh4cAh9c""]"
AKJ9t,2025-08-21,turn,"[""Kc9sJcAc""]"
AKJTs,2025-08-21,flop,"[""JdKcAdTh""]"
AKQ4d,2025-08-21,preflop,"[""Kh4dAdQh""]"
AKQ9d,2025-08-21,flop,"[""QhAhKd9d""]"
AKTTt,2025-08-21,preflop,"[""TdKdAdTs""]"
AQ32d,2025-08-21,turn,"[""As2sQd3d"", ""3sQd2sAd""]"
AQ85s,2025-08-21,showdown,"[""Qd8dAh5s"", ""5dAd8sQh""]"
AQ86s,2025-08-21,showdown,"[""Qc6hAs8s""]"
AQ87s,2025-08-21,showdown,"[""Qd8c7sAd"", ""Qd7hAs8s""]"
AQ88s,2025-08-21,preflop,"[""8dQh8sAd""]"
AQ88t,2025-08-21,flop,"[""8cAc8sQc""]"
AQJ9d,2025-08-21,turn,"[""AsJd9dQs""]"
AQQ3r,2025-08-21,showdown,"[""AdQcQh3s""]"
AQT6s,2025-08-21,showdown,"[""6sAdQcTd"", ""QdTsAs6h""]"
AQT7s,2025-08-21,flop,"[""Qh7dTcAc""]"
AT76s,2025-08-21,river,"[""TcAs7h6s""]"
AT84s,2025-08-21,preflop,"[""Tc4c8dAs""]"
AT97d,2025-08-21,turn,"[""9c7hThAc""]"
ATT6s,2025-08-21,showdown,"[""TsTdAd6h""]"
ATT9t,2025-08-21,showdown,"[""TdAcTc9c""]"
J733d,2025-08-21,showdown,"[""3d7hJd3h""]"
J976d,2025-08-21,preflop,"[""Jc6d7c9d""]"
JJ63d,2025-08-21,showdown,"[""Jh3dJd6h""]"
JJTTs,2025-08-21,showdown,"[""JhThJcTd"", ""JdTsJcTc""]"
JT53t,2025-08-21,turn,"[""JhTh5h3d""]"
JT65d,2025-08-21,flop,"[""6cJs5cTs""]"
JT76s,2025-08-21,showdown,"[""7hJcTs6h"", ""Jc6d7hTc""]"
JT86s,2025-08-21,turn,"[""TsJs8d6c""]"
K876d,2025-08-21,showdown,"[""6c8s7cKs""]"
KJ53d,2025-08-21,showdown,"[""Kh5dJh3d""]"
KJ54d,2025-08-21,preflop,"[""4sKh5hJs""]"
KJ98d,2025-08-21,showdown,"[""9dJs8sKd""]"
KJT4s,2025-08-21,showdown,"[""4hKhJsTd"", ""ThJsKh4c""]"
KJT7d,2025-08-21,showdown,"[""KdTcJd7c""]"
KK22s,2025-08-21,flop,"[""KsKc2s2h"", ""2h2sKhKd""]"
KK52d,2025-08-21,showdown,"[""2sKsKh5h""]"
KK54s,2025-08-21,showdown,"[""Ks5sKd4c""]"
KK75t,2025-08-21,turn,"[""7c5cKdKc"", ""KsKh7s5s""]"
KK85t,2025-08-21,turn,"[""KcKs8c5c""]"
KK97t,2025-08-21,flop,"[""7hKhKd9h""]"
KKJ3d,2025-08-21,showdown,"[""3cJsKsKc""]"
KKJ9s,2025-08-21,showdown,"[""KdJcKh9c""]"
KKQ3d,2025-08-21,preflop,"[""KhKc3cQh""]"
KKQ5s,2025-08-21,flop,"[""5dKdQcKh""]"
KKQTd,2025-08-21,showdown,"[""KcQsKsTc""]"
KQ83s,2025-08-21,preflop,"[""8hKdQd3s""]"
KQ95d,2025-08-21,preflop,"[""KsQh5s9h""]"
KQ96d,2025-08-21,showdown,"[""6cKc9dQd""]"
KQ97s,2025-08-21,preflop,"[""7dKd9hQs""]"
KQ98d,2025-08-21,turn,"[""Qh9h8dKd""]"
KQJJs,2025-08-21,river,"[""JsJhQcKs""]"
KQT6d,2025-08-21,showdown,"[""Kd6hQhTd"", ""Qd6cTcKd""]"
KT43s,2025-08-21,preflop,"[""4s3cThKs""]"
KT54r,2025-08-21,showdown,"[""KsTc5d4h""]"
KT66r,2025-08-21,showdown,"[""Kd6sTc6h""]"
KT99s,2025-08-21,showdown,"[""9cKs9dTs""]"
Q855s,2025-08-21,showdown,"[""5cQh5d8d""]"
QJ52s,2025-08-21,showdown,"[""5sQh2sJc""]"
QJ86d,2025-08-21,showdown,"[""6dQh8hJd""]"
QJJ3d,2025-08-21,showdown,"[""QdJh3hJd""]"
QQJ9s,2025-08-21,showdown,"[""QdQh9dJc"", ""Jd9sQhQd""]"
QT64d,2025-08-21,river,"[""4cTh6cQh""]"
QT83s,2025-08-21,preflop,"[""Ts3dQh8d""]"
QT98s,2025-08-21,preflop,"[""9hQsTc8s""]"
T984d,2025-08-21,showdown,"[""8h4hTc9c""]"
T998r,2025-08-21,river,"[""9d8c9hTs""]"
TT99s,2025-08-21,river,"[""9h9sTcTh""]"
7755s,2025-08-22,turn,"[""7h5s5d7s""]"
8443d,2025-08-22,preflop,"[""8h4h3s4s""]"
8754d,2025-08-22,showdown,"[""5d8d4c7c""]"
A654s,2025-08-22,preflop,"[""6c5s4dAc""]"
A976s,2025-08-22,showdown,"[""9s6d7cAs""]"
A977s,2025-08-22,showdown,"[""Ad9c7d7s""]"
AA64t,2025-08-22,river,"[""AsAh4h6h""]"
AA75s,2025-08-22,preflop,"[""AhAd5h7c""]"
AA93t,2025-08-22,showdown,"[""AcAh3c9c""]"
AAJ8t,2025-08-22,showdown,"[""8hAhAsJh""]"
AAJTs,2025-08-22,flop,"[""AdAcTcJh""]"
AAK5d,2025-08-22,preflop,"[""Ac5cKsAs""]"
AAK9s,2025-08-22,showdown,"[""AdKsAc9c""]"
AAQ9t,2025-08-22,river,"[""AhAdQd9d""]"
AAT3s,2025-08-22,flop,"[""TdAs3cAd"", ""AsAc3hTc""]"
AAT8r,2025-08-22,river,"[""Ac8sAdTh""]"
AJ84d,2025-08-22,showdown,"[""Jc8cAs4s""]"
AJJ8d,2025-08-22,flop,"[""Jc8cJhAh""]"
AJT7s,2025-08-22,showdown,"[""7sAhJhTd""]"
AJT8s,2025-08-22,showdown,"[""AsJhTs8d""]"
AK42d,2025-08-22,showdown,"[""KcAs2c4s""]"
AK52d,2025-08-22,showdown,"[""5c2hAcKh""]"
AK63s,2025-08-22,preflop,"[""Kc3h6sAc""]"
AK95s,2025-08-22,preflop,"[""5s9cKdAc""]"
AK95t,2025-08-22,showdown,"[""5cKc9sAc""]"
AK96s,2025-08-22,turn,"[""9h6cKcAd"", ""6c9dAhKd""]"
AK98s,2025-08-22,turn,"[""Ad9sKh8d""]"
AK98t,2025-08-22,turn,"[""8s9cKsAs""]"
AKJ4t,2025-08-22,preflop,"[""4cKsAsJs""]"
AKJ6r,2025-08-22,preflop,"[""6dAsKcJh""]"
AKK9d,2025-08-22,showdown,"[""Kd9dKhAh"", ""Ad9hKdKh""]"
AKKTt,2025-08-22,showdown,"[""AsKhTsKs""]"
AKQ5t,2025-08-22,preflop,"[""Kc5sQsAs""]"
AKQ6d,2025-08-22,flop,"[""QcKdAc6d""]"
AKQ7t,2025-08-22,turn,"[""7dAcQcKc"", ""7dQsAdKd""]"
AKQTt,2025-08-22,preflop,"[""QcAcKdTc""]"
AKT7s,2025-08-22,preflop,"[""Ad7cThKd"", ""Td7hKcAc""]"
AKT8s,2025-08-22,showdown,"[""AcKs8hTh""]"
AKT9s,2025-08-22,preflop,"[""9cKdTcAh""]"
AKTTs,2025-08-22,flop,"[""ThKcAcTd"", ""TdAhKcTc""]"
AQ44s,2025-08-22,showdown,"[""Qh4hAc4d""]"
AQ87d,2025-08-22,showdown,"[""AsQd8s7d""]"
AQ98s,2025-08-22,flop,"[""Ad8cQd9h"", ""Ac9cQs8h""]"
AQ98t,2025-08-22,preflop,"[""8hQd9hAh""]"
AQJ3s,2025-08-22,preflop,"[""AhQcJd3c"", ""Qh3cJsAs"", ""JdAcQc3h""]"
AQJ8d,2025-08-22,showdown,"[""Jc8dQcAd""]"
AQJ9t,2025-08-22,turn,"[""9cQsAcJc""]"
AQQ3s,2025-08-22,flop,"[""Qh3hQsAd""]"
AQT2d,2025-08-22,preflop,"[""Ah2dQdTh""]"
AQTTt,2025-08-22,showdown,"[""ThTsQsAs""]"
AT95d,2025-08-22,showdown,"[""Th5cAh9c""]"
AT98t,2025-08-22,showdown,"[""As8s9hTs""]"
J852s,2025-08-22,preflop,"[""2h5s8dJh""]"
J852t,2025-08-22,turn,"[""Jh8c5c2c""]"
JJ44s,2025-08-22,showdown,"[""Jc4sJh4h""]"
JJT8d,2025-08-22,showdown,"[""8sJhJsTh""]"
JT76d,2025-08-22,flop,"[""JdTh6d7h""]"
JT93t,2025-08-22,showdown,"[""JhTc3h9h""]"
K766d,2025-08-22,preflop,"[""Kc6d7d6c""]"
K875s,2025-08-22,showdown,"[""8s7h5hKc""]"
KJ43t,2025-08-22,showdown,"[""Kh4h3sJh""]"
KJ63s,2025-08-22,showdown,"[""JhKc3d6h""]"
KJ88d,2025-08-22,preflop,"[""Kc8s8cJs""]"
KJ94d,2025-08-22,flop,"[""4h9cJhKc""]"
KJJ7d,2025-08-22,turn,"[""Kh7cJcJh""]"
KJT9d,2025-08-22,showdown,"[""Ts9cKcJs""]"
KK77s,2025-08-22,river,"[""7h7sKdKh""]"
KK93s,2025-08-22,preflop,"[""Kd3hKs9s""]"
KK93t,2025-08-22,showdown,"[""Kc9h3hKh""]"
KK96s,2025-08-22,turn,"[""Kh6hKc9s""]"
KK98s,2025-08-22,river,"[""8c9dKcKs"", ""Ks9dKd8h""]"
KKJ5s,2025-08-22,turn,"[""5cKsKhJs""]"
KKJ7d,2025-08-22,showdown,"[""7hKsKhJs""]"
KKT2s,2025-08-22,showdown,"[""KhTc2dKd""]"
KQ43r,2025-08-22,showdown,"[""4dQs3hKc""]"
KQ62s,2025-08-22,showdown,"[""QdKc6d2h""]"
KQ64d,2025-08-22,showdown,"[""QhKd6d4h""]"
KQ87d,2025-08-22,preflop,"[""7sKh8sQh""]"
KQ97r,2025-08-22,preflop,"[""7d9cQhKs""]"
KQJ9d,2025-08-22,flop,"[""Jh9hKsQs""]"
KQJTt,2025-08-22,showdown,"[""QhJdKdTd""]"
KT65d,2025-08-22,river,"[""6cTh5hKc""]"
KT75d,2025-08-22,showdown,"[""KsTs7d5d""]"
Q542s,2025-08-22,showdown,"[""2d5dQh4c""]"
QJT3d,2025-08-22,turn,"[""JhQh3cTc""]"
QJTTd,2025-08-22,flop,"[""JcTdTcQd""]"
QJTTs,2025-08-22,flop,"[""ThTdQsJh""]"
QQJJs,2025-08-22,showdown,"[""JcJhQcQd""]"
QT54d,2025-08-22,showdown,"[""4cThQh5c""]"
T765d,2025-08-22,showdown,"[""6d7hTd5h""]"
T876d,2025-08-22,showdown,"[""7h8d6hTd""]"
T886s,2025-08-22,showdown,"[""Td8s8h6d""]"
T964s,2025-08-22,river,"[""6d4s9sTh""]"
TT44s,2025-08-22,showdown,"[""TsTc4c4d"", ""4dThTd4s""]"
TT76s,2025-08-22,river,"[""7sTs6hTc""]"
7444r,2025-08-23,river,"[""7c4d4h4s""]"
8866s,2025-08-23,preflop,"[""6c6h8s8c""]"
8876s,2025-08-23,showdown,"[""8h7h8s6c""]"
9874d,2025-08-23,preflop,"[""4h7h9d8d""]"
A543d,2025-08-23,flop,"[""Ad4h5d3h""]"
A643d,2025-08-23,turn,"[""As3h6h4s""]"
A643s,2025-08-23,showdown,"[""6d4hAc3d""]"
A753s,2025-08-23,preflop,"[""Ah3s5d7h""]"
AA32t,2025-08-23,showdown,"[""3dAd2dAs""]"
AA72d,2025-08-23,showdown,"[""2sAd7dAs""]"
AA73t,2025-08-23,showdown,"[""AsAh7h3h""]"
AAJ4s,2025-08-23,showdown,"[""AhAcJd4d""]"
AAJ5d,2025-08-23,showdown,"[""AdJd5hAh""]"
AAK9t,2025-08-23,preflop,"[""9dAdAcKd""]"
AAQ7s,2025-08-23,turn,"[""Qd7hAcAd""]"
AAT3r,2025-08-23,showdown,"[""AhAs3dTc""]"
AAT6r,2025-08-23,showdown,"[""6hAcAsTd""]"
AAT7s,2025-08-23,preflop,"[""TsAh7dAd""]"
AAT9r,2025-08-23,showdown,"[""AhAdTc9s""]"
AJ92s,2025-08-23,river,"[""Ah2hJc9d""]"
AJJ4d,2025-08-23,showdown,"[""Jc4dAcJd""]"
AJJ6d,2025-08-23,showdown,"[""Jc6cJhAh""]"
AJT5s,2025-08-23,showdown,"[""5dJhTcAd""]"
AKK3t,2025-08-23,showdown,"[""3cAcKcKd""]"
AKK7t,2025-08-23,preflop,"[""AsKc7sKs""]"
AKK9t,2025-08-23,showdown,"[""Kh9dKdAd""]"
AKQ7d,2025-08-23,showdown,"[""KsAc7sQc""]"
AKQQd,2025-08-23,showdown,"[""QcAcQdKd""]"
AKQTd,2025-08-23,flop,"[""AdKdQcTc""]"
AQ76t,2025-08-23,showdown,"[""7s6dAdQd""]"
AQJ4t,2025-08-23,turn,"[""4cJcAcQd""]"
AQJ8t,2025-08-23,preflop,"[""8sJsAsQh""]"
AQQ8r,2025-08-23,river,"[""AcQd8hQs""]"
AQT8s,2025-08-23,showdown,"[""QcTs8dAc""]"
AT98s,2025-08-23,showdown,"[""Ts9d8cAc""]"
ATT3s,2025-08-23,showdown,"[""Ts3cTdAd""]"
J544t,2025-08-23,showdown,"[""4c4sJc5c""]"
J863s,2025-08-23,showdown,"[""3s8cJc6d""]"
J986d,2025-08-23,turn,"[""9hJh6c8c""]"
JJ66s,2025-08-23,showdown,"[""6sJs6hJd""]"
JJ94s,2025-08-23,showdown,"[""9d4hJdJs""]"
JJ99s,2025-08-23,showdown,"[""9c9sJsJd"", ""JdJc9c9s""]"
JT72s,2025-08-23,showdown,"[""JcTh7d2d""]"
K644s,2025-08-23,showdown,"[""4s4d6dKh""]"
KJT5d,2025-08-23,turn,"[""JcKs5sTc""]"
KJT5s,2025-08-23,showdown,"[""JdKs5sTc""]"
KJT8d,2025-08-23,turn,"[""8sKhJsTh""]"
KK65d,2025-08-23,showdown,"[""Kd6cKc5d""]"
KK73s,2025-08-23,preflop,"[""Kh3sKc7h""]"
KK97s,2025-08-23,river,"[""7sKdKs9h""]"
KKQ3s,2025-08-23,turn,"[""Kd3sKhQh""]"
KKQJd,2025-08-23,turn,"[""KhKdQhJd""]"
KKT3d,2025-08-23,showdown,"[""KcTc3sKs""]"
KKT8r,2025-08-23,preflop,"[""Ts8dKhKc""]"
KKTTd,2025-08-23,showdown,"[""ThTsKhKs""]"
KQ54d,2025-08-23,flop,"[""4dKcQc5d"", ""Ks5sQc4c""]"
KQ63d,2025-08-23,showdown,"[""Kh3sQh6s""]"
KQ98s,2025-08-23,showdown,"[""Qc8h9dKd""]"
KQJ3s,2025-08-23,showdown,"[""Jc3hQsKc""]"
KQQ3d,2025-08-23,preflop,"[""3hKsQsQh""]"
KT74d,2025-08-23,river,"[""7sKs4hTh""]"
KT92d,2025-08-23,preflop,"[""Th2h9sKs""]"
KT96d,2025-08-23,river,"[""6sKs9hTh""]"
KTT2r,2025-08-23,showdown,"[""TsTd2hKc""]"
Q752s,2025-08-23,preflop,"[""2c5c7sQd""]"
Q754d,2025-08-23,preflop,"[""5cQc7h4h""]"
Q963t,2025-08-23,showdown,"[""9s6sQs3d""]"
QJ43s,2025-08-23,river,"[""Qs4d3hJs""]"
QJ76r,2025-08-23,preflop,"[""Jd7sQc6h""]"
QJ97d,2025-08-23,flop,"[""Js7dQs9d""]"
QJ98s,2025-08-23,showdown,"[""Js8cQd9s"", ""8sJd9dQh"", ""8hQd9dJs""]"
QJT2t,2025-08-23,showdown,"[""ThJd2hQh""]"
QQ44d,2025-08-23,showdown,"[""QdQs4s4d""]"
QQ75t,2025-08-23,preflop,"[""5hQsQh7h""]"
QQ98s,2025-08-23,showdown,"[""Qc8cQs9h""]"
QQJ7d,2025-08-23,preflop,"[""7dQhJhQd""]"
QQJ8s,2025-08-23,showdown,"[""Qd8cJcQs""]"
QT96d,2025-08-23,preflop,"[""9d6dTsQs""]"
QT97t,2025-08-23,preflop,"[""Td7cQc9c""]"
QTT2s,2025-08-23,preflop,"[""TdQsTs2h""]"
T772s,2025-08-23,preflop,"[""7s2cTc7d""]"
T873d,2025-08-23,showdown,"[""3s7hTs8h""]"
T982d,2025-08-23,flop,"[""Th2c9h8c""]"
T992s,2025-08-23,preflop,"[""9c2s9dTs""]"
TT43d,2025-08-23,river,"[""Ts4h3sTh""]"
TT95d,2025-08-23,showdown,"[""9dTc5cTd""]"
TT99d,2025-08-23,turn,"[""Td9cTc9d""]"
